commit_sha,subject_name
bb92741c7b6df652ee493f396f40e97364c537e5,Achilles-integration-test-2_1
bb92741c7b6df652ee493f396f40e97364c537e5,Achilles-integration-test-2_2
d59f3389e81e215a998a43cc6cd2eb5518ab7eff,Achilles-integration-test-2_2
bb92741c7b6df652ee493f396f40e97364c537e5,Achilles-integration-test-3_10
bb92741c7b6df652ee493f396f40e97364c537e5,Achilles-integration-test-3_7
ac85374d778ff1e9812de037ef24ba06ab0b05b8,Achilles-integration-test-3_7
7f54df3dcf9f8d2acbafb91d68f1c506b6bdb0f7,Activiti-activiti-spring-boot-starter
822d40f50f07ee408ab517e2bef7247cf70f1f43,Java-WebSocket
46b260e5bc14c6c64664c93675d2442bb22f3989,Java-WebSocket
9c233c90dc79f540643249bf32a5be7ad4dfd25e,TooTallNate-Java-WebSocket
0aecb79ccba83fc1ba3b6d5f78b9a9e49b0c88db,TooTallNate-Java-WebSocket
12864f81c0668c31f68f4419d6ec65e541cefa8c,aismessages
216a5da6690ce83a1db3694846b4b922b76611cf,cukes-cukes-http
fc324032be5c05c6bc90facb39fdfbc4500078d0,db-scheduler
03b9b50b17021fe9af974c57d69d847601222b75,db-scheduler
d19eeeab22efa109f337f7b34e7ef687ce2d63ba,delight-nashorn-sandbox
6954fb77a497c03c725b952e9e24511a001317eb,elastic-job-lite-elastic-job-common-elastic-job-common-core
7e2505bcb04bdc1a9f4fcf824750bdab740e203a,elastic-job-lite-elastic-job-common-elastic-job-common-core
c808c8e797af44f8fc0f64f331a40f940437fd3a,elastic-job-lite-elastic-job-common-elastic-job-common-core
c808c8e797af44f8fc0f64f331a40f940437fd3a,elastic-job-lite-elastic-job-lite-elastic-job-lite-core
a000cd2ab2a1ddc41b57b7f8425aeb488abbba30,elastic-job-lite-elastic-job-lite-elastic-job-lite-core
ddbadbc60d0e658717de87184a5efd2f5eba586a,fluent-fluent-logger-java
5fd46383ed0bf599e01d6d24cabf2a0e5c4d0cfa,fluent-logger-java
faff990caa1ea48b0be46bc2c02977d91e717e53,hsac-fitnesse-fixtures
6784375811518a200685e635ee51edc548629971,incubator-dubbo-dubbo-serialization-dubbo-serialization-fst
971d80d55da692690135dead98f9ce2001023e60,incubator-dubbo-dubbo-serialization-dubbo-serialization-fst
b7e8d81cc333bcf99826394aba8ad2b4680f7891,integration-web
3356b26a85e92ab21163552459a2663c6a16f997,jhipster-registry
7d72c7c59b19aa80aa54c07df0669d5cf43b7ac8,kagkarlsson-db-scheduler
3d8dff0ffb21973c59a896c3a1bd4498b5dcc9d2,marine-api
5517c8e6c792d9a82d803737c40c7bfc3ba5033b,nexus-repository-helm
d50fe8874fa442cbd3ea380754e7b412a77aed9a,spring-boot-project-spring-boot-actuator-autoconfigure
f915ae197a97ed882d5bdf9d00b43a1c27926635,spring-boot-spring-boot
c347972729e3145359786fe2a6eb557f5f3ad2cf,spring-boot-spring-boot
8d3803b82632bc911b85cf3e3e99b45a8fe84e00,spring-boot-spring-boot
f915ae197a97ed882d5bdf9d00b43a1c27926635,spring-boot-spring-boot-devtools
ac2609b5857727724709e7da793d82264bd6726d,spring-boot-spring-boot-test-autoconfigure
ce3b8c76c8e25d6f60463c6ec544330aee6c6b3b,tyrus-tests-e2e-non-deployable
c3b8a88db6999c231b4def84437d8c32cf1e2efe,undertow-websockets-jsr
1ed0c16a46a741b9fab0e55efd42e22256d5ee43,undertow-websockets-jsr
ea5dc7569729c0aa250e0d9b24ca1754b0875703,vertexium-inmemory
a5b582aecaf36cda29b39edfa0d44c0800e36c1a,wildfly-naming
34ed80a068e7e4c680ebbcb54d03c7cc5e38acd9,wildfly-testsuite-integration-web
e262efe91032398ae497a0761aaa15e7f846ff64,wro4j-wro4j-core
3b4595ea0c403649e7fd038673c35c2f9c586965,wro4j-wro4j-core
fd3e6adc9759d02a68abac6c016dc7cedce3ec8f,wro4j-wro4j-core
aa6b5bccec6e2342229311b8e2610a17cbf8e14f,wro4j-wro4j-core
89b9a8e8d72b6ade620198a4f30a3c2c9b6583c0,wro4j-wro4j-core
9259c054623510dd2885e05288f4ea8cce750dbe,wro4j-wro4j-core
0ecb877a530cd85a4f6eeeb3e1c4102d9a6e4c50,wro4j-wro4j-core
327857b5a5d11fb8acba51cb39726700abd3186a,wro4j-wro4j-core
6289d010597174b6484b83f986da4bbf84d8d184,wro4j-wro4j-core
c86a541c7bd242faf0fafe74945277424ba6b40d,wro4j-wro4j-core
af99c3615a9e782887c40d5b45f31b345d890937,wro4j-wro4j-core
96b2f43cef6223d8bb22f0d5cd5db931e50786b8,wro4j-wro4j-core
464a497c0169fc92eabcb79b52867d9e7985fd95,wro4j-wro4j-core
ea2ccc3fd6a0a81c0c3e83f516b16a57d0b712c0,wro4j-wro4j-core
6878eeeb4c8c477d7affdfa0a58dae630f8c3b8e,wro4j-wro4j-core
96b2f43cef6223d8bb22f0d5cd5db931e50786b8,wro4j-wro4j-extensions
0cc9efe5e71fd2cafa8d64708433fd8daff21dbb,wro4j-wro4j-extensions
