#url,sha,module,test,submitted?,accepted?,alreadyfixed?,nofix?
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.aCreateStandaloneTaskForGroup,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.bClaimAndRelease,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.eCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeClaimReleaseTest.fCreateStandaloneTaskAndClaimAndReleaseUnAuthorized,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.aCreateStandaloneTaskAndComplete,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.bCreateStandaloneTask,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeCompleteTaskTest.ctryCompletingWithUnauthorizedUser,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.aCreateStandaloneTaskAndDelete,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.cCreateStandaloneGroupTaskClaimAndDeleteFail,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.dClaimTaskCreatedForGroup,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeDeleteTaskTest.eClaimTaskCreatedForGroup,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeStandaloneTaskTest.aCreateStandaloneTaskForSalaboy,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeStandaloneTaskTest.bCreateStandaloneTaskForGroup,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.aCreateStandaloneTaskForAnotherAssignee,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.bCreateCheckTaskCreatedForSalaboyFromAnotherUser,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskAssigneeTest.cCreateStandaloneTaskForGroupAndClaim,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest.aCreateStandaloneTaskWithNoCandidates,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeTaskForOtherTest.bCheckThatTaskIsNotVisibleForNonCandidateUsers,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest.aCreateStandaloneTaskForGroup,N,N,Y,N
https://github.com/activiti/activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,Activiti-activiti-spring-boot-starter,org.activiti.spring.boot.tasks.TaskRuntimeUnAuthorizedTest.bClaimNotFoundBecauseYouAreNotACandidate,N,N,Y,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.bug.Issue_717.test_for_issue,N,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.date.DateTest.test_date,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.date.DateTest_tz.test_codec,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.issue_1600.Issue1679.test_for_issue,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.issue_1700.Issue1769.test_for_issue,N,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.issue_1900.Issue1977.test_for_issue,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.serializer.date.DateTest4_indian.test_date,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.serializer.date.DateTest5_iso8601.test_date,Y,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.serializer.JSONFieldTest5.test_jsonField,N,N,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.serializer.JSONSerializerTest2.test_0,Y,Y,N,N
https://github.com/alibaba/fastjson,57d0434ab01c55e719bb52f3ec96bf12cad0e46c,fastjson,com.alibaba.json.bvt.serializer.MaxBufSizeTest.test_max_buf,N,N,N,N
https://github.com/alien4cloud/alien4cloud,eb57d0feca6c37e0a4aafc3feef494e43e02ecda,alien4cloud-alien4cloud-security,alien4cloud.security.LdapAuthenticationProviderTest.testLdapUserImport,N,N,N,N
https://github.com/alturkovic/distributed-lock,9f8117bf69219ffc6e9e66bd3acaffaa732237af,distributed-lock-distributed-lock-redis,com.github.alturkovic.lock.redis.impl.MultiRedisLockTest.shouldLockMultipleKeys,N,N,N,N
https://github.com/alturkovic/distributed-lock,9f8117bf69219ffc6e9e66bd3acaffaa732237af,distributed-lock-distributed-lock-redis,com.github.alturkovic.lock.redis.impl.MultiRedisLockTest.shouldLockSingleKey,N,N,N,N
https://github.com/alturkovic/distributed-lock,9f8117bf69219ffc6e9e66bd3acaffaa732237af,distributed-lock-distributed-lock-redis,com.github.alturkovic.lock.redis.impl.MultiRedisLockTest.shouldNotRefreshBecauseOneKeyExpired,N,N,N,N
https://github.com/alturkovic/distributed-lock,9f8117bf69219ffc6e9e66bd3acaffaa732237af,distributed-lock-distributed-lock-redis,com.github.alturkovic.lock.redis.impl.MultiRedisLockTest.shouldNotRefreshBecauseTokenForOneKeyDoesNotMatch,N,N,N,N
https://github.com/alturkovic/distributed-lock,9f8117bf69219ffc6e9e66bd3acaffaa732237af,distributed-lock-distributed-lock-redis,com.github.alturkovic.lock.redis.impl.MultiRedisLockTest.shouldRefresh,N,N,N,N
https://github.com/alturkovic/distributed-lock,9f8117bf69219ffc6e9e66bd3acaffaa732237af,distributed-lock-distributed-lock-redis,com.github.alturkovic.lock.redis.impl.SimpleRedisLockTest.shouldLock,N,N,N,N
https://github.com/alturkovic/distributed-lock,9f8117bf69219ffc6e9e66bd3acaffaa732237af,distributed-lock-distributed-lock-redis,com.github.alturkovic.lock.redis.impl.SimpleRedisLockTest.shouldNotRefreshBecauseTokenDoesNotMatch,N,N,N,N
